,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
69,60,90,Nd,69, ,2206.0,4, ,4,11, , , , , , , , , , , , , , , , , , , , ,2021-06-09
70,60,90,Nd,70, ,2223.0,4, ,2,6, , , , , , , , , , , , , , , , , , , , ,2021-06-09
71,60,90,Nd,71, ,2242.0,4, ,2,7, , , , , , , , , , , , , , , , , , , , ,2021-06-09
72,60,90,Nd,72, ,2269.0,1, ,1,1,0.006, ,3,eV,0.00000000000007603961917856428,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
73,60,90,Nd,73, ,2271.0,4, ,3,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
74,60,90,Nd,74, ,2328.0,4, ,3,12, , , , , , , , , , , , , , , , , , , , ,2021-06-09
75,60,90,Nd,75, ,2384.0,4, ,2,8, , , , , , , , , , , , , , , , , , , , ,2021-06-09
76,60,90,Nd,76, ,2408.0,1, ,1,2,0.0017, ,8,eV,0.0000000000002683751265125798,0.0000000000005702971438392321, , , , , , , , , , , , , , ,2021-06-09
77,60,90,Nd,77, ,2412.0,4, ,3,2, , , , , , , , , , , , , , , , , , , , ,2021-06-09
78,60,90,Nd,78, ,2414.0,1, ,1,2,0.026, ,4,eV,0.000000000000017547604425822526,0.00000000000011405942876784643, , , , , , , , , , , , , , ,2021-06-09
79,60,90,Nd,79, ,2441.0,4, ,4,12, , , , , , , , , , , , , , , , , , , , ,2021-06-09
80,60,90,Nd,80, ,2458.0, , ,1,3,0.0056, ,11,eV,0.00000000000008147102054846173,0.0000000000004147615591558052, , , , , , , , , , , , , , ,2021-06-09
81,60,90,Nd,81, ,2460.0,25, ,4,3, , , , , , , , , , , , , , , , , , , , ,2021-06-09
82,60,90,Nd,82, ,2475.0,4, ,4,13, , , , , , , , , , , , , , , , , , , , ,2021-06-09
83,60,90,Nd,83, ,2496.2,1, ,1,3,0.018, ,4,eV,0.000000000000025346539726188095,0.00000000000011405942876784643, , , , , , , , , , , , , , ,2021-06-09
84,60,90,Nd,84, ,2528.0,4, ,4,14, , , , , , , , , , , , , , , , , , , , ,2021-06-09
85,60,90,Nd,85, ,2539.2,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
86,60,90,Nd,86, ,2563.0,4, ,4,15, , , , , , , , , , , , , , , , , , , , ,2021-06-09
87,60,90,Nd,87, ,2571.0,1, ,1,1,0.008, ,3,eV,0.00000000000005702971438392322,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
88,60,90,Nd,88, ,2588.0,1, ,1 2,1,0.0015, ,8,eV,0.0000000000003041584767142571,0.0000000000005702971438392321, , , , , , , , , , , , , , ,2021-06-09
89,60,90,Nd,89, ,2596.0,4, ,5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-09
90,60,90,Nd,90, ,2620.0,25, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-09
91,60,90,Nd,91, ,2638.0,4, ,4,16, , , , , , , , , , , , , , , , , , , , ,2021-06-09
