,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
68,12,12,Mg,68, ,11864.9,1.3, ,1,5,7.0, ,3,keV,6.51768164387694e-20,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
69,12,12,Mg,69, ,11904.0,4, ,0, ,5.5, ,22,keV,8.2952311831161e-20,2.073807795779026e-19, , , , , , , , , ,0, , , , ,2021-06-10
70,12,12,Mg,70, ,11931.2,0.6, ,0, ,0.02, , ,keV,2.2811885753569284e-17, , , , , , , , , , , , , , , ,2021-06-10
71,12,12,Mg,71, ,11969.6,1, ,2,14,2.4, ,5,keV,1.900990479464107e-19,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
72,12,12,Mg,72, ,11987.72,0.1, ,2,15,0.002, , ,keV,2.2811885753569286e-16, , , , , , , , , , ,0, , , , ,2021-06-10
73,12,12,Mg,73, ,12002.3,2, ,0, ,1,LT, ,keV,4.562377150713857e-19, , , , , , , , , , ,0, , , , ,2021-06-10
74,12,12,Mg,74, ,12015.2,0.8, ,3,5,0.7, ,2,keV,6.517681643876939e-19,2.2811885753569284e-18, , , , , , , , , ,0, , , , ,2021-06-10
75,12,12,Mg,75, ,12049.1,2, ,4,7,0.02,LT, ,keV,2.2811885753569284e-17, , , , , , , , , , ,0&1, , , , ,2021-06-10
76,12,12,Mg,76, ,12119.5,1.8, ,2 3 4,1,1.9, ,3,keV,2.401251131954662e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
77,12,12,Mg,77, ,12128.3,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
78,12,12,Mg,78, ,12160.6,1.6, ,4,8,0.9, ,3,keV,5.069307945237619e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
79,12,12,Mg,79, ,12181.23,0.23, ,1 2,1,0.05,LT, ,keV,9.124754301427713e-18, , , , , , , , , , , , , , , ,2021-06-10
80,12,12,Mg,80, ,12257.5,0.7, ,3,1,1.2, ,6,keV,3.801980958928214e-19,7.603961917856428e-19, , , , , , , , , ,0, , , , ,2021-06-10
81,12,12,Mg,81, ,12257.69,0.21, ,2,16,0.06,LT, ,keV,7.603961917856428e-18, , , , , , , , , , , , , , , ,2021-06-10
82,12,12,Mg,82, ,12339.0,0.24, ,2 3 4,4,0.07,LT, ,keV,6.517681643876939e-18, , , , , , , , , , , , , , , ,2021-06-10
83,12,12,Mg,83, ,12344.0,3, ,0, ,3.5, ,14,fs,0.0000000000000035,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-10
84,12,12,Mg,84, ,12383.0, , ,0, ,7, ,2,keV,6.51768164387694e-20,2.281188575356929e-19, , , , , , , , , , , , , , ,2021-06-10
85,12,12,Mg,85, ,12398.7,0.7, ,2 3 4,5,0.09,LT, ,keV,5.069307945237619e-18, , , , , , , , , , ,0, , , , ,2021-06-10
86,12,12,Mg,86, ,12403.3,0.7, ,2,17,0.1,LT, ,keV,4.562377150713857e-18, , , , , , , , , , ,0&1, , , , ,2021-06-10
87,12,12,Mg,87, ,12441.0,3, ,0, ,11, ,3,fs,0.000000000000011,0.000000000000003, , , , , , , , , ,0, , , , ,2021-06-10
88,12,12,Mg,88, ,12449.0,3, ,0, ,5.7, ,4,keV,8.00417043984887e-20,1.1405942876784644e-18, , , , , , , , , ,0, , , , ,2021-06-10
89,12,12,Mg,89, ,12468.0,3, ,2,18,3.8, ,3,keV,1.200625565977331e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
90,12,12,Mg,90, ,12504.0,3, ,4,9,2.3, ,3,keV,1.983642239440807e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
91,12,12,Mg,91, ,12526.5,0.8, ,1 2,2,7.5, ,10,keV,6.08316953428514e-20,4.562377150713857e-19, , , , , , , , , ,0&1, , , , ,2021-06-10
92,12,12,Mg,92, ,12577.0,3, ,2,19,6.2, ,6,keV,7.35867282373203e-20,7.603961917856428e-19, , , , , , , , , ,0, , , , ,2021-06-10
93,12,12,Mg,93, ,12636.8,0.6, ,4,10,0.03, ,20,keV,1.5207923835712855e-17,2.2811885753569284e-18, , , , , , , , , ,0&1, , , , ,2021-06-10
94,12,12,Mg,94, ,12657.2,0.6, ,0, ,0.09, ,80,keV,5.069307945237619e-18,5.702971438392321e-19, , , , , , , , , , , , , , ,2021-06-10
95,12,12,Mg,95, ,12658.9,0.7, ,3,6,0.9, ,3,keV,5.069307945237619e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
96,12,12,Mg,96, ,12669.9,0.2, ,2,1,4.0, ,5,keV,1.140594287678464e-19,9.124754301427715e-19, , , , , , , , , ,1, , , , ,2021-06-10
97,12,12,Mg,97, ,12731.4,0.8, ,0, ,0.6,LT, ,keV,7.603961917856428e-19, , , , , , , , , , , , , , , ,2021-06-10
98,12,12,Mg,98, ,12737.1,0.9, ,2,20,8.2, ,5,keV,5.56387457404129e-20,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
99,12,12,Mg,99, ,12776.0,1, ,2,21,31, ,6,keV,1.47173456474641e-20,7.60396191785643e-20, , , , , , , , , ,0, , , , ,2021-06-10
100,12,12,Mg,100, ,12805.9,0.8, ,2,22,1.8, ,5,keV,2.534653972618809e-19,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
101,12,12,Mg,101, ,12815.9,0.6, ,1 2,1,2.8, ,3,keV,1.629420410969235e-19,1.5207923835712856e-18, , , , , , , , , ,0&1, , , , ,2021-06-10
102,12,12,Mg,102, ,12845.0,0.8, ,3 4,1,0.2, ,1,keV,2.2811885753569284e-18,4.562377150713857e-18, , , , , , , , , ,0, , , , ,2021-06-10
103,12,12,Mg,103, ,12850.3,0.8, ,0, ,0.32, ,3,keV,1.4257428595980803e-18,1.5207923835712855e-17, , , , , , , , , ,0, , , , ,2021-06-10
104,12,12,Mg,104, ,12852.0,1, ,1 2,2,1.0, ,1,keV,4.562377150713857e-19,4.562377150713857e-18, , , , , , , , , , , , , , ,2021-06-10
105,12,12,Mg,105, ,12861.0,3, ,2 3,1,1,LT, ,keV,4.562377150713857e-19, , , , , , , , , , ,0, , , , ,2021-06-10
106,12,12,Mg,106, ,12893.2,0.8, ,1 2 3,1,0.32, ,3,keV,1.4257428595980803e-18,1.5207923835712855e-17, , , , , , , , , ,0, , , , ,2021-06-10
107,12,12,Mg,107, ,12919.7,0.7, ,2 3 4,6,6.0, ,6,keV,7.60396191785643e-20,7.603961917856428e-19, , , , , , , , , ,0&1, , , , ,2021-06-10
108,12,12,Mg,108, ,12954.9,0.2, ,1 2,3,2.5, ,3,keV,1.824950860285543e-19,1.5207923835712856e-18, , , , , , , , , ,1, , , , ,2021-06-10
109,12,12,Mg,109, ,12961.9,0.8, ,1 2,4,3.2, ,3,keV,1.42574285959808e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
110,12,12,Mg,110, ,12966.0,0.8, ,0, ,1.5,LT, ,keV,3.041584767142571e-19, , , , , , , , , , , , , , , ,2021-06-10
111,12,12,Mg,111, ,12972.0,3, ,4,11,3.3, ,3,keV,1.382538530519351e-19,1.5207923835712856e-18, , , , , , , , , ,0, , , , ,2021-06-10
112,12,12,Mg,112, ,12995.8,0.8, ,0, ,0.3, ,2,keV,1.5207923835712856e-18,2.2811885753569284e-18, , , , , , , , , , , , , , ,2021-06-10
113,12,12,Mg,113, ,13027.9,0.6, ,2 3,2,1.8, ,2,keV,2.534653972618809e-19,2.2811885753569284e-18, , , , , , , , , ,1, , , , ,2021-06-10
114,12,12,Mg,114, ,13044.0,3, ,0,7,2.8, ,6,keV,1.629420410969235e-19,7.603961917856428e-19, , , , , , , , , ,0&1, , , , ,2021-06-10
115,12,12,Mg,115, ,13050.22,0.14, ,3 4,2,0.09, ,3,keV,5.069307945237619e-18,1.5207923835712855e-17, , , , , , , , , ,0&1, , , , ,2021-06-10
116,12,12,Mg,116, ,13056.0,3, ,4,1,1,LT, ,keV,4.562377150713857e-19, , , , , , , , , , ,0, , , , ,2021-06-10
117,12,12,Mg,117, ,13086.8,0.7, ,2 3,3,9, ,3,keV,5.06930794523762e-20,1.520792383571286e-19, , , , , , , , , ,0&1, , , , ,2021-06-10
118,12,12,Mg,118, ,13131.0,3, ,0, ,7, ,1,keV,6.51768164387694e-20,4.562377150713857e-19, , , , , , , , , ,0, , , , ,2021-06-10
119,12,12,Mg,119, ,13137.0,3, ,0, ,5.4, ,5,keV,8.44884657539603e-20,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
120,12,12,Mg,120, ,13144.0, , ,0, ,3.2, ,5,keV,1.42574285959808e-19,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
121,12,12,Mg,121, ,13158.5,0.9, ,0, ,1.7, ,7,keV,2.683751265125798e-19,6.517681643876939e-19, , , , , , , , , ,0, , , , ,2021-06-10
122,12,12,Mg,122, ,13182.6,1, ,0, ,6.0, ,4,keV,7.60396191785643e-20,1.1405942876784644e-18, , , , , , , , , ,0, , , , ,2021-06-10
123,12,12,Mg,123, ,13198.0,3, ,0, ,2.7, ,4,keV,1.689769315079206e-19,1.1405942876784644e-18, , , , , , , , , ,0, , , , ,2021-06-10
124,12,12,Mg,124, ,13213.0,3, ,0, ,2.3, ,12,fs,0.0000000000000023,0.0000000000000012, , , , , , , , , , , , , , ,2021-06-10
125,12,12,Mg,125, ,13253.0,5, ,0, ,36, ,3,keV,1.2673269863094e-20,1.520792383571286e-19, , , , , , , , , ,0, , , , ,2021-06-10
126,12,12,Mg,126, ,13266.8,0.9, ,0, ,6.0, ,6,keV,7.60396191785643e-20,7.603961917856428e-19, , , , , , , , , , , , , , ,2021-06-10
127,12,12,Mg,127, ,13273.6,1.2, ,0, ,2,AP, ,keV,2.281188575356929e-19, , , , , , , , , , ,0, , , , ,2021-06-10
128,12,12,Mg,128, ,13332.0,3, ,0, ,31, ,3,keV,1.47173456474641e-20,1.520792383571286e-19, , , , , , , , , ,0, , , , ,2021-06-10
129,12,12,Mg,129, ,13343.8,0.8, ,3,2,1.2, ,2,keV,3.801980958928214e-19,2.2811885753569284e-18, , , , , , , , , ,0&1, , , , ,2021-06-10
130,12,12,Mg,130, ,13353.1,1, ,0, ,9.0, ,9,keV,5.06930794523762e-20,5.069307945237619e-19, , , , , , , , , , , , , , ,2021-06-10
131,12,12,Mg,131, ,13365.0,1, ,0, ,1.6, ,7,keV,2.851485719196161e-19,6.517681643876939e-19, , , , , , , , , ,1, , , , ,2021-06-10
132,12,12,Mg,132, ,13417.4,1, ,0, ,4.5, ,5,keV,1.013861589047524e-19,9.124754301427715e-19, , , , , , , , , ,0, , , , ,2021-06-10
133,12,12,Mg,133, ,13422.8,1.3, ,0, ,4.0, ,7,keV,1.140594287678464e-19,6.517681643876939e-19, , , , , , , , , ,0, , , , ,2021-06-10
134,12,12,Mg,134, ,13429.0,5, ,0, ,15.0, ,25,keV,3.04158476714257e-20,1.824950860285543e-19, , , , , , , , , ,0, , , , ,2021-06-10
135,12,12,Mg,135, ,13436.0,5, ,0, ,1,LT, ,keV,4.562377150713857e-19, , , , , , , , , , ,0, , , , ,2021-06-10
