,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
58,25,30,Mn,58, ,3383.0,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,25,30,Mn,59, ,3424.1,0.3, ,3/2,2,111, ,35,fs,0.000000000000111,0.000000000000035, , , , , , , , , , , , , , ,2021-06-10
60,25,30,Mn,60, ,3431.8,0.3, ,1/2,1,22, ,4,fs,0.000000000000022,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
61,25,30,Mn,61, ,3480.0,10, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,25,30,Mn,62, ,3505.0,10, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
63,25,30,Mn,63, ,3523.0,5, , 3/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,25,30,Mn,64, ,3528.1,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
65,25,30,Mn,65, ,3532.0,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
66,25,30,Mn,66, ,3580.0,2, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
67,25,30,Mn,67, ,3600.0,5, , 7/2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
68,25,30,Mn,68, ,3604.0,5, ,3/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
69,25,30,Mn,69, ,3608.0,15, ,5/2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
70,25,30,Mn,70, ,3610.8,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
71,25,30,Mn,71, ,3631.0,10, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
72,25,30,Mn,72, ,3642.0,10, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
73,25,30,Mn,73, ,3660.9,0.3, ,0,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
74,25,30,Mn,74, ,3673.0,10, ,0,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
75,25,30,Mn,75, ,3682.0,10, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
