Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
26,32,Fe,76, ,5343.33,0.22, ,8+,1,0.42, ,+10-8,ps,0.00000000000042, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,77, ,5370,10, ,(4+ 5-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,78, ,5400,50, ,-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,79, ,5406,10, ,0+,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,80, ,5417.6,0.6, ,(1+ 2 3-),1,0.7,LT, ,fs,7e-16, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,81, ,5462,10, ,(2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,82, ,5502.9,1, ,(8+),1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,83, ,5506,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,84, ,5523,2.2, ,0+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,85, ,5620,10, ,0+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,86, ,5655,10, ,2+,19, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,87, ,5716,10, ,3- 4-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,88, ,5734,10, ,2+,20, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,89, ,5763,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,90, ,5788,10, ,(2+ 3-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,91, ,5817,10, ,(2- 3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,92, ,5830,20, ,0+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,93, ,5832.08,0.23, ,(9+),1,0.40, ,+15-4,ps,0.0000000000004, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,94, ,5857,10, ,(2- 3-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,95, ,5880,20, ,(2+ 3-),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,96, ,5887,10, ,(0- 1-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,97, ,5914,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,98, ,5952,10, ,(2+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,99, ,5989,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,100, ,6030,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,101, ,6032.9,0.5, ,(9+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,102, ,6054,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,103, ,6100,50, ,3- 4-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,104, ,6146,10, ,2+,21, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,105, ,6168,10, ,(0+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,106, ,6202,10, ,3- 4-,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,107, ,6238,10, ,(1- 2+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,108, ,6279,10, ,(1- 2+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,109, ,6282.7,0.5, ,(9+),3,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,110, ,6295,10, ,(5-),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,111, ,6328,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,112, ,6348,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,113, ,6370,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,114, ,6400,10, ,(6+ 7-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,115, ,6436,10, ,1-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,116, ,6450,10, ,0+,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,117, ,6476,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,118, ,6532,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,119, ,6558,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,120, ,6580,20, ,(6+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,121, ,6593,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,122, ,6615,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,123, ,6636,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,124, ,6650,20, ,0+,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,125, ,6679,10, ,(3- 2-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,126, ,6741,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,127, ,6760,20, ,0+,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,128, ,6771,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,129, ,6789,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,130, ,6842,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,131, ,6870,20, ,(5-),5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,132, ,6909,10, ,1-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,133, ,6953,10, ,2+,22, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,134, ,7023,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,135, ,7028,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,136, ,7048,10, ,(1- 2+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,137, ,7060,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,138, ,7094,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,139, ,7124,10, ,0+,13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,140, ,7166,10, ,1-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,141, ,7199,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,142, ,7230,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,143, ,7242.6,0.9, ,(10+),1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,144, ,7272,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,145, ,7289,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,146, ,7351,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,147, ,7380,50, ,(8+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,148, ,7429,10, ,(0- 1-),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,149, ,7456.7,0.5, ,(10+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,150, ,7457,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,151, ,7473,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,152, ,7492,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,153, ,7507,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,154, ,7534,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,155, ,7567,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,156, ,7578,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,157, ,7585,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,158, ,7605,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,159, ,7628,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,160, ,7653,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,161, ,7680,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,162, ,7690,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,163, ,7731.3,0.5, ,(11+),1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,164, ,7734,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,165, ,7775,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,166, ,7797,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,167, ,7824,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,168, ,7846,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,169, ,7883,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,170, ,7901,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,171, ,7918,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,172, ,7946,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,173, ,7974,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,174, ,7997,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,175, ,8018,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,176, ,8045,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,177, ,8065,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,178, ,8084,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,179, ,8100,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,180, ,8121,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,181, ,8137,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,182, ,8157,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,183, ,8182,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,184, ,8310,50, ,(6+),2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,185, ,9444.8,0.6, ,(12+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,186, ,9939.1,0.9, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,187, ,9984.5,0.7, ,(12),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,188, ,10041.05,0.18, ,1-,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,32,Fe,189, ,10044.31,0.19, ,1-,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
