Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
24,30,Cr,79, ,6120,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,80, ,6142.31,0.17, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,81, ,6193,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,82, ,6212,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,83, ,6255,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,84, ,6289,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,85, ,6316.39,0.09, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,86, ,6350,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,87, ,6374,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,88, ,6391,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,89, ,6421,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,90, ,6446.2,0.6, ,(9),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,91, ,6510,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,92, ,6525,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,93, ,6556,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,94, ,6585,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,95, ,6617.8,0.4, ,9+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,96, ,6633,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,97, ,6658,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,98, ,6678,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,30,Cr,99, ,6699,10, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
