Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc, decay mode, decay %, unc, decay mode, decay %, unc, decay mode, decay %, unc,isospin,magnetic dipole [mu N], unc, electric quadrupole [b]  , unc,Extraction_date
22,26,Ti,110, ,6036,2, ,2 TO 6,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,111, ,6039,1, ,6,1,25, ,17,fs,0.000000000000025,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,112, ,6040,5, ,1 2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,113, ,6042.45,0.04, ,(2 3),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,114, ,6051,3, , , , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,115, ,6054.55,0.2, ,LE 4,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,116, ,6084,3, ,4 5 6,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,117, ,6086,4, ,1,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,118, ,6102.2,0.5, ,10 8,1,1,LT, ,ps,0.000000000001, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,119, ,6115,5, ,2+,16, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,120, ,6119,2, ,4 5 6,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,121, ,6122, , ,0+,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,122, ,6126,3, ,1,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,123, ,6138,4, ,1(+),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,124, ,6147,4, ,4 TO 8,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,125, ,6153,2, ,5 6 7,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,126, ,6168, , ,3- 4-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,127, ,6172,1, ,8 6+,1,35, ,28,fs,0.000000000000035,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,128, ,6176,3, ,2 3 4 5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,129, ,6183,3, ,2 TO 6,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,130, ,6223,5, ,LE 4,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,131, ,6234,3, ,LE 4,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,132, ,6236,3, ,2+,17, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,133, ,6240.4,0.4, ,4 5-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,134, ,6246,3, ,3-,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,135, ,6254,3, ,2 3 4,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,136, ,6268,5, ,LE 4,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,137, ,6313.71,0.22, ,4 5-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,138, ,6316,2, ,2 3 4,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,139, ,6322,2, ,1 TO 5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,140, ,6331,4, ,1 TO 5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,141, ,6337,4, ,3-,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,142, ,6363,3, ,3 4 5 6,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,143, ,6365.16,0.09, ,2 3 4 5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,144, ,6394,3, ,6 7 8,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,145, ,6400,2, ,4 TO 8,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,146, ,6406.17,0.11, ,1 TO 5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,147, ,6414,4, ,2 TO 6,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,148, ,6434,4, ,3 TO 7,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,149, ,6451.1,0.6, ,2 3 4 5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,150, ,6460.5,2.6, ,3-,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,151, ,6476,3, ,4 TO 8,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,152, ,6490.45,0.07, ,2 3 4,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,153, ,6491,5, ,LE 4,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,154, ,6493,3, ,4 5 6 7,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,155, ,6507,3, ,6 7,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,156, ,6514,5, ,4+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,157, ,6524,3, ,4 TO 8,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,158, ,6530,3, ,2 TO 6,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,159, ,6536,2, ,3 4 5 6,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,160, ,6539,3, ,1 TO 5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,161, ,6541.63,0.08, ,LE 4,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,162, ,6544,2, ,2 TO 6,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,163, ,6573,3, ,5 6 7,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,164, ,6584,4, ,(3-),4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,165, ,6604.3,2.4, ,1-,2,0.86, ,20,eV,5.305089710132392e-16,0.0000000000000022811885753569286, , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,166, ,6617,3, ,4 TO 8,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,167, ,6626.53,0.14, ,0- 1 2 3,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,168, ,6634,4, ,3 4 5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,169, ,6653,4, ,2 TO 6,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,170, ,6661,4, ,3 TO 7,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,171, ,6673,4, ,1+ 2+ 3+ 4+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,172, ,6707,2, ,2 3 4,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,173, ,6707.79,0.18, ,2 3 4 5-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,174, ,6711,2, ,4 5 6 7,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,175, ,6740,5, ,(2+ 3-),1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,176, ,6744,1, ,4+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,177, ,6757,2, ,6 7 8 9,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,178, ,6770,2, ,4 TO 8,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,179, ,6797,0.3, ,1 TO 5-,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,180, ,6808,3, ,2 TO 6,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,181, ,6814,3, ,2 TO 6,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,182, ,6825,2, ,4 TO 8,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,183, ,6827.3,0.2, ,2 3 4,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,184, ,6831,4, ,LE 4,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,185, ,6841,4, ,2 TO 6,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,186, ,6869,3, ,1 TO 5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,187, ,6878,4, ,LE 4,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,188, ,6880,2, ,6+ 7 8 9,1,125, ,+69-55,fs,0.000000000000125, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,189, ,6885,2, ,4 TO 8,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,190, ,6898.29,0.2, ,1 2,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,191, ,6906,2, ,10 8 6,1,97, ,+76-62,fs,0.000000000000097, , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,192, ,6916,3, ,3 TO 7,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,193, ,6944,2, ,4 5 6 7,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,194, ,6955,2, ,5 6 7 8,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,195, ,6957.1,0.3, ,1 TO 5-,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,196, ,6966,3, ,2 TO 6,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,197, ,6972,4, ,LE 4,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,198, ,6975,3, ,3 TO 7,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,199, ,6976.32,0.18, ,LE 4,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,200, ,6979,3, ,1-,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,201, ,6984,4, ,1 TO 5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,202, ,6985,3, ,6 7 8,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,203, ,7033,4, ,2 TO 6,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,204, ,7040,2, ,6 7 8 9,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,205, ,7041,4, ,1 2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,206, ,7054,3, ,1 TO 5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,207, ,7060.58,0.18, ,0- 1 2 3,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,208, ,7069,4, ,1 TO 5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,209, ,7071,4, ,1+,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,210, ,7075,2, ,6 TO 10,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,211, ,7093,3, ,5 6 7 8,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,212, ,7100,4, ,2 TO 6,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,213, ,7110,5, ,1,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,214, ,7111,3, ,5 TO 9,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,215, ,7118,2, ,6 7 8,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,216, ,7124,3, ,1-,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,217, ,7129,10, ,(2+),3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,218, ,7149,3, ,4 TO 8,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,219, ,7162,3, ,4 TO 8,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,220, ,7183,5, ,LE 4,13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,221, ,7199,5, ,LE 4,14, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,222, ,7221.4,0.7, ,LE 4,15, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,223, ,7221.6,2, ,1+,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,224, ,7256,3, ,3+ 4+,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,225, ,7274,2, ,4+,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,26,Ti,226, ,7289,5, ,3+,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
